video_id,trending_date,title,channel_title,tags,views,likes,dislikes,comment_count,countries_trending_in,publish-day,publish-time
5E4ZBSInqUU,11-14-2017,Marshmello - Blocks (Official Music Video),marshmello,"['marshmello', 'blocks', 'marshmello blocks', 'blocks music video', 'marshmello music video', 'roblox bully story', 'marshmello alone', 'roblox', 'cuphead', 'marshmello nightcore', 'marshmello musically', 'music for kids', 'happy music', 'videos that make you happy', 'sad songs', 'childrens music', 'joytime', 'marshmello joytime', 'frat bro', 'band', 'high school', 'crush', 'mellogang']",687582,114188,1333,8371,['US'],2017-11-13,17:00:00
n1WpP7iowLc,11-14-2017,Eminem - Walk On Water (Audio) ft. Beyoncé,EminemVEVO,"['Eminem', 'Walk', 'On', 'Water', 'Aftermath/Shady/Interscope', 'Rap']",17158531,787419,43420,125882,"['US', 'CA', 'GB', 'FR', 'DE']",2017-11-10,17:00:03
e_7zHm7GsYc,11-14-2017,Hunter Hayes - You Should Be Loved (Part One Of Pictures),Hunter Hayes,"['Hunter', 'Hayes', 'you should be loved', 'the shadowboxers', 'pictures', 'part one', 'official', 'music video', 'trilogy', 'hunter hayes', 'wanted', 'i want crazy', 'storm warning']",13917,1318,24,76,['US'],2017-11-13,15:01:18
zZ9FciUx6gs,11-14-2017,Nickelback - The Betrayal Act III [Official Video],Nickelback,"['Nickelback', 'Feed The Machine', 'The Betrayal Act III', 'The Betrayal', 'Rock', 'Alternative', 'Anthem Films', 'Kevin Slack', 'Chad Kroeger', 'Ryan Peake', 'Mike Kroeger', 'Daniel Adair', 'How You Remind Me', 'Rockstar']",57169,6927,161,565,['US'],2017-11-13,15:31:44
PaJCFHXcWmM,11-14-2017,U2 - The Blackout,U2VEVO,"['U2', 'The', 'Blackout', 'Island', 'Records', 'Rock']",60506,5389,106,455,['US'],2017-11-13,17:00:04
0tO_l_Ed5Rs,11-14-2017,Matthew Santoro - FACTS (Official Music Video) f. Ellevan & Humble the Poet,MatthewSantoro,"['matthew santoro facts', 'music video', 'matthew santoro', 'Ellevan', 'EllevanMusic', 'HumbleThePoet', 'Humble The Poet', 'FACTS', 'whats that facts']",328330,15186,15448,7484,['US'],2017-11-11,16:00:01
2Vv-BfVoq4g,11-14-2017,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,"['edsheeran', 'ed sheeran', 'acoustic', 'live', 'cover', 'official', 'remix', 'official video', 'lyrics', 'session']",33523622,1634124,21082,85067,"['US', 'CA', 'GB', 'FR', 'DE']",2017-11-09,11:04:14
ObIQ0s02UHg,11-14-2017,Jason Derulo - Tip Toe feat. French Montana (Official Lyric Video),Jason Derulo,"['Jason Derulo', 'French Montana', 'Pop', 'Other', 'Tip Toe', 'Official Music Video', 'Jason Desrouleaux']",1282413,37669,1732,1691,['US'],2017-11-10,14:40:48
e4FApt6z55c,11-14-2017,Kimbra - Top of the World (Official Music Video),kimbramusic,"['Kimbra', 'Top of the World', 'Pop', 'Primal Heart', 'Gotye', 'Somebody I Used To Know', 'Vows', 'Settle Down', 'Cameo Lover', 'Other', 'Official Music Video']",165698,8599,361,930,['US'],2017-11-10,15:43:00
2XK4omx9uMU,11-14-2017,Camila Cabello COMPLETELY NAILS 'Finish The Lyric',Capital FM,"['capitalfmofficial', 'capital', 'capital fm', 'capital radio', 'radio', 'official', 'remix', 'lyrics', 'official video', 'live', 'capital tv', 'interview', 'camila cabello', 'camila', 'camila fifth harmony', '5th harmony', 'harmonizers', 'Ally Brooke', 'Ally Brooke 5th harmony', 'Ally fifth harmony', 'Ally 5th harmony', 'Normani Kordei', 'Normani 5th harmony', 'Lauren Jauregui', 'Lauren fifth harmony', 'Dinah Jane', 'Dinah 5th harmony', 'ed sheeran', 'shawn mendes', 'justin bieber', 'despacito', 'ed sheeran live']",836544,40195,373,976,['US'],2017-11-10,14:40:32
RkHuWjiR-LM,11-14-2017,Neck Deep - Parachute (Official Music Video),Hopeless Records,"['Hopeless Records', 'neck deep', 'parachute', 'the peace and the panic', 'in bloom', 'tpatp', 'neckdeepuk', 'ben barlow', 'dani washington', 'fil thorpe evans', 'sam bowden', 'matt west', 'pop punk']",195685,14338,171,1070,['US'],2017-11-10,18:03:54
DIU3xPdhCBI,11-14-2017,Sam Smith surprises brides at their wedding! (At The BBC),BBC Music,"['bbc', 'music', 'bbc music', 'Sam Smith', 'Wedding', 'Sam Smith At The BBC', 'At the BBC']",893462,22326,833,943,"['US', 'GB']",2017-11-09,22:26:10
viyRD5z6ilQ,11-14-2017,Luke Bryan - O Holy Night (Audio),LukeBryanVEVO,"['Luke', 'Bryan', 'Holy', 'Night', 'Capitol', 'Records', 'Nashville', 'Holiday']",125962,5048,139,369,['US'],2017-11-10,05:00:01
QFfEtKvXMAs,11-14-2017,Niall Horan - Too Much To Ask (Acoustic),NiallHoranVEVO,"['Niall Horan', 'Niall', 'Horan', 'Too Much To Ask', 'Too Much Too Ask', 'To Much To Ask', 'To Much Too Ask', 'TMTA', 'Too Much To Ask Acoustic', 'Too Much Too Ask Acoustic', 'To Much To Ask Acoustic', 'To Much Too Ask Acoustic', 'TMTA Acoustic', 'Acoustic', 'Acoustic Video']",419341,53572,168,3083,"['US', 'GB']",2017-11-10,17:00:05
tOFkFZbPdnQ,11-14-2017,Typical audience reaction to a bass solo...,Danny Sapko,"['danny sapko', 'bass', 'funk bass', 'bass solo', 'free mp3 download', 'best bass', 'davie504', 'bass boosted songs', 'MEME', 'FUNNY VIDEO', 'VIRAL VIDEO', 'COWS', 'FUNK BASS', 'funk bass solo']",493662,7693,181,388,['US'],2017-11-09,00:44:51
J_QGZspO4gg,11-14-2017,Sia - Snowman,SiaVEVO,['Sia Snowman Holiday'],1624771,84426,1130,5981,"['US', 'GB']",2017-11-09,15:45:05
ozkqm2ifMw8,11-14-2017,2CELLOS - Cinema Paradiso [OFFICIAL VIDEO],2CELLOS,"['2CELLOS', 'Luka Sulic', 'Stjepan Hauser', 'cello', 'cellist', 'cellists', 'cover', 'Glee', 'The Piano Guys', 'crossover', '2 Cellos', 'two cellos', 'Hauser', 'Ennio Morricone', 'Cinema Paradiso', 'movie', 'film', 'soundtrack', 'classical', 'music', 'passion', 'Oliver Dragojevic', 'LSO', 'London Symphony Orchestra', 'new album', 'score']",205869,11198,120,446,"['US', 'GB']",2017-11-10,13:24:10
htvR_dBs3eg,11-14-2017,Sam Smith - The Thrill of It All ALBUM REVIEW,theneedledrop,"['album', 'review', 'music', 'reviews', 'indie', 'underground', 'new', 'latest', 'lyrics', 'full song', 'listen', 'track', 'concert', 'live', 'performance', 'update', 'the needle drop', 'anthony fantano', 'vlog', 'talk', 'discussion', 'music nerd', 'pop', 'soul', 'sam smith', 'the thrill of it all', 'in the lonely hour', 'too good at goodbyes', 'say it first', 'pray', 'london']",98422,2926,106,798,['US'],2017-11-10,21:38:57
1Wk8ZRgXQnY,11-14-2017,Andy Grammer - The Good Parts (Official Audio),Andy Grammer,"['andy', 'grammer', 'the', 'good', 'parts', 'smoke', 'clears', 'new', 'music', 'album', 'singer', 'songwriter', 'pop', 'mu']",33315,1365,24,91,['US'],2017-11-09,22:27:45
